,Number,Date,Venue,Venue_2,Official,Temperature,Relative_Humidity,Precipitation_mm,Snow_mm,Wind_Speed,Total_Sunshine
0,262,5/20/2022,Electric Cool Aid,,True,28.6,59.0,0.0,,17.0,
9,-9,3/18/2022,Electric Cool Aid,,False,21.8,53.0,0.0,,14.8,
26,249,10/15/2021,Electric Cool Aid,,True,25.7,62.0,0.0,,14.8,
1,261,5/13/2022,Atlas Brew Works,,True,21.3,79.0,0.0,,13.0,
2,260,5/6/2022,Smoke & Barrel,,True,16.6,86.0,1.4,,7.0,
49,225,2/7/2020,Smoke & Barrel,,True,10.7,50.0,0.0,,31.7,
59,215,11/15/2019,Smoke & Barrel,,True,11.8,34.0,0.0,,16.6,
69,205,9/5/2019,Smoke & Barrel,,True,25.7,54.0,0.0,,16.6,
92,182,3/14/2019,Smoke & Barrel,,True,21.3,45.0,0.0,,24.1,
112,121,10/12/2018,Smoke & Barrel,,True,17.9,43.0,0.0,,31.7,
118,156,8/31/2018,Smoke & Barrel,,True,30.7,54.0,0.0,,20.5,
139,135,4/6/2018,Smoke & Barrel,,True,16.3,36.0,0.0,,22.3,
153,122,12/29/2017,Smoke & Barrel,,True,-2.1,34.0,0.0,,7.6,
173,101,7/21/2017,Smoke & Barrel,,True,33.5,52.0,0.0,,14.8,
3,-13,4/29/2022,Boardwalk,,False,17.6,19.0,0.0,,17.0,
16,-2,1/28/2022,Boardwalk,,False,4.0,51.0,0.0,,11.2,
40,235,7/2/2021,Boardwalk,,True,26.3,58.0,0.0,,20.5,
4,259,4/22/2022,DC9,,True,23.5,26.0,0.0,,20.5,
8,-10,3/25/2022,DC9,,False,16.3,36.0,0.0,,22.3,
24,251,10/29/2021,DC9,,True,15.7,87.0,0.2,,25.9,
33,242,8/27/2021,DC9,,True,32.4,58.0,0.0,,14.8,
5,258,4/15/2022,Continental Beer Garden,,True,20.2,22.0,0.0,,22.3,
27,248,10/8/2021,Continental Beer Garden,,True,24.6,52.0,0.0,,5.4,
35,240,8/6/2021,Continental Beer Garden,,True,30.7,48.0,0.0,,16.6,
164,111,9/29/2017,Continental Beer Garden,,True,21.8,38.0,0.0,,14.8,
168,106,8/25/2017,Continental Beer Garden,,True,25.2,52.0,0.0,,7.6,
6,-12,4/8/2022,Solly's,,False,15.2,41.0,0.0,,18.4,
21,254,11/19/2021,Solly's,,True,8.5,34.0,0.0,,37.1,
39,236,7/9/2021,Solly's,,True,31.3,52.0,0.0,,11.2,
78,196,6/21/2019,Solly's,,True,27.4,43.0,0.0,,25.9,
95,179,2/22/2019,Solly's,,True,9.6,42.0,0.0,,9.4,
102,172,1/4/2019,Solly's,,True,7.4,76.0,0.0,,9.4,
108,166,11/9/2018,Solly's,,True,10.2,86.0,1.8,,7.6,
119,155,8/24/2018,Solly's,,True,27.4,38.0,0.0,,11.2,
132,142,5/25/2018,Solly's,,True,28.5,51.0,0.0,,14.8,
143,131,3/9/2018,Solly's,,True,5.7,35.0,0.0,,29.5,
148,127,2/2/2018,Solly's,,True,-2.6,42.0,0.0,,38.9,
152,123,1/5/2018,Solly's,,True,-7.1,36.0,0.0,,24.1,
163,112,10/6/2017,Solly's,,True,26.3,54.0,0.0,,14.8,
229,45,5/27/2016,Solly's,,True,29.0,61.0,0.0,,16.6,
234,40,4/22/2016,Solly's,,True,21.3,61.0,,,20.5,
238,36,3/25/2016,Solly's,,True,19.6,57.0,0.0,,14.8,
240,34,3/11/2016,Solly's,,True,20.7,49.0,0.0,,14.8,
246,28,1/29/2016,Solly's,,True,3.5,50.0,,,33.5,
247,28,1/22/2016,Solly's,,True,-2.1,51.0,,,16.6,
248,27,1/15/2016,Solly's,,True,9.0,54.0,0.0,,13.0,
249,26,1/8/2016,Solly's,,True,5.2,96.0,,,9.4,
251,24,12/18/2015,Solly's,,True,6.8,53.0,0.0,,24.1,
252,23,12/11/2015,Solly's,,True,13.5,74.0,0.0,,14.8,
253,22,12/4/2015,Solly's,,True,9.6,50.0,0.0,,7.6,
254,21,11/20/2015,Solly's,,True,12.4,23.0,0.0,,25.9,
274,1,7/3/2015,Solly's,DC9,True,26.8,58.0,0.0,,11.2,
7,-11,4/1/2022,Astro Beer Hall,,False,13.5,39.0,0.1,,27.7,
14,-4,2/11/2022,Astro Beer Hall,,False,16.3,26.0,0.0,,18.4,
10,-8,3/11/2022,Bar Deco,,False,15.2,46.0,0.0,,16.6,
11,-7,3/4/2022,Penn Social,,False,5.2,32.0,0.0,,14.8,
228,46,6/3/2016,Penn Social,,True,25.7,77.0,0.0,,13.0,
261,14,10/3/2015,Penn Social,,True,13.5,93.0,,,25.9,
12,-6,2/25/2022,Rocket Bar,,False,8.5,73.0,0.0,,7.6,
15,-3,2/4/2022,Rocket Bar,,False,5.2,89.0,2.5,,22.3,
98,176,2/1/2019,Rocket Bar,,True,-5.4,71.0,0.0,,11.2,
107,167,11/16/2018,Rocket Bar,,True,10.2,50.0,0.0,,18.4,
114,160,9/28/2018,Rocket Bar,,True,22.9,57.0,0.0,,5.4,
120,154,8/17/2018,Rocket Bar,,True,33.5,54.0,0.0,,22.3,
128,146,6/22/2018,Rocket Bar,,True,20.7,87.0,0.2,,16.6,
133,141,5/18/2018,Rocket Bar,,True,19.6,84.0,0.5,,22.3,
141,133,3/23/2018,Rocket Bar,,True,8.5,30.0,0.0,,22.3,
13,-5,2/18/2022,Continental Pool Lounge,,False,6.8,38.0,0.0,,27.7,
17,-1,1/21/2022,Sauf Haus,,False,-3.7,42.0,0.0,,18.4,
23,252,11/5/2021,Sauf Haus,,True,12.4,31.0,0.0,,13.0,
29,246,9/24/2021,Sauf Haus,,True,22.4,35.0,0.0,,16.6,
147,128,2/9/2018,Sauf Haus,,True,5.7,57.0,0.0,,11.2,
263,12,9/18/2015,Sauf Haus,,True,28.5,36.0,0.0,,5.4,
18,257,12/17/2021,Exiles,,True,17.9,40.0,0.0,,14.8,
20,255,12/3/2021,Exiles,,True,10.7,41.0,0.0,,20.5,
37,238,7/23/2021,Exiles,,True,29.0,32.0,0.0,,0.0,
41,233,6/25/2021,Exiles,,True,25.2,48.0,0.0,,14.8,
46,229,3/6/2020,Exiles,,True,9.0,61.0,0.0,,18.4,
50,224,1/31/2020,Exiles,,True,6.3,55.0,0.0,,0.0,
55,219,12/20/2019,Exiles,,True,5.2,43.0,0.0,,11.2,
61,213,11/1/2019,Exiles,,True,11.3,41.0,0.0,,24.1,
67,207,9/20/2019,Exiles,,True,25.2,36.0,0.0,,22.3,
72,202,8/16/2019,Exiles,,True,29.6,63.0,0.0,,5.4,
79,195,6/14/2019,Exiles,,True,22.9,36.0,0.0,,25.9,
85,189,5/3/2019,Exiles,,True,24.0,71.0,0.0,,18.4,
96,178,2/15/2019,Exiles,,True,15.7,42.0,0.0,,18.4,
99,175,1/25/2019,Exiles,,True,4.6,39.0,0.0,,25.9,
106,168,11/30/2018,Exiles,,True,6.8,58.0,0.0,,5.4,
115,159,9/21/2018,Exiles,,True,22.4,81.0,0.0,,16.6,
121,153,8/10/2018,Exiles,,True,31.3,47.0,0.0,,7.6,
126,148,6/6/2018,Exiles,,True,24.6,45.0,0.0,,11.2,
131,143,6/1/2018,Exiles,,True,30.2,53.0,0.0,,14.8,
134,140,5/11/2018,Exiles,,True,27.9,40.0,0.0,,24.1,
138,136,4/13/2018,Exiles,,True,27.9,28.0,0.0,,18.4,
142,132,3/16/2018,Exiles,,True,6.3,29.0,0.0,,33.5,
146,129,2/16/2018,Exiles,,True,16.8,84.0,0.3,,13.0,
150,125,1/19/2018,Exiles,,True,9.6,23.0,0.0,,7.6,
154,121,12/15/2017,Exiles,,True,-1.5,60.0,,,9.4,
157,118,11/17/2017,Exiles,,True,11.3,38.0,0.0,,16.6,
162,113,10/13/2017,Exiles,,True,17.9,81.0,0.0,,11.2,
165,109,9/15/2017,Exiles,,True,27.9,55.0,0.0,,5.4,
169,105,8/18/2017,Exiles,,True,31.3,75.0,0.0,,18.4,
172,102,7/28/2017,Exiles,,True,24.0,97.0,2.0,,20.5,
175,99,7/7/2017,Exiles,,True,30.2,53.0,0.0,,18.4,
179,95,6/9/2017,Exiles,,True,26.3,36.0,0.0,,16.6,
180,94,6/2/2017,Exiles,,True,26.3,33.0,0.0,,16.6,
183,91,5/12/2017,Exiles,,True,14.0,70.0,0.0,,16.6,
184,90,5/5/2017,Exiles,,True,20.7,87.0,,,18.4,
185,89,4/28/2017,Exiles,,True,27.4,47.0,0.0,,18.4,
186,88,4/21/2017,Exiles,,True,23.5,79.0,0.8,,9.4,
187,87,4/14/2017,Exiles,,True,20.2,32.0,0.0,,0.0,
188,86,4/7/2017,Exiles,,True,9.6,42.0,0.3,,33.5,
189,85,3/31/2017,Exiles,,True,9.0,97.0,0.3,,14.8,
194,80,2/24/2017,Exiles,,True,24.0,47.0,0.0,,25.9,
